Timestamp,What age group do you fall under?,Which is your gender?,What would you say accurately matches your personality in a group discussion?,Choose all the options that are close to where you reside.,How often do you eat from fast foods each month?,What does your purchase mostly consist of?  [Nigerian dishes],What does your purchase mostly consist of?  [Burger],What does your purchase mostly consist of?  [Pizza],What does your purchase mostly consist of?  [Small chops],What does your purchase mostly consist of?  [Shawarma],What do you look for when choosing a fast food restaurant?,Which of the following have you been to at least twice in the last 2 months,"When it comes to ordering, which do you prefer the most?",What is the best way to reach you for special offers/Discounts?,What about a fast food restaurant endears you to them? [Their special offers],What about a fast food restaurant endears you to them? [The quality],What about a fast food restaurant endears you to them? [Value for your money],What about a fast food restaurant endears you to them? [Excellent service],What about a fast food restaurant endears you to them? [Convenience],What about a fast food restaurant endears you to them? [Price],What about a fast food restaurant endears you to them? [Social media savviness],What do you consider yourself to be the most?
2018/09/07 11:29:39 PM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),,0 - 1,Most likely,Most likely,Highly Unlikely,Highly Unlikely,Likely,Quality;Value for your money,Domino's Pizza Saka,Order in a physical store and takeaway,In-stores,Indifferent,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,A Jollof Warrior
2018/09/07 11:37:36 PM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Magodo,More than 10,Most likely,Likely,Highly Unlikely,Likely,Most likely,Cheapest place,Domino's Pizza Saka,Order in a physical store and dine in,In-stores,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,A Jollof Warrior
2018/09/07 11:37:57 PM GMT+1,18 - 24,Female,"Shy, but I hold my own.",,4 - 6,Highly Unlikely,Likely,Likely,Likely,Most likely,Value for your money,sizzlers ,Order in a physical store and takeaway,Via SMS,Stongly Disagrre,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Stongly Disagrre,A Shawarma Expert
2018/09/07 11:45:43 PM GMT+1,35 - 39,Female,"Passionate, I sometimes over talk.",Magodo;Gbagada,2 - 3,Most likely,Highly Unlikely,Highly Unlikely,Highly Unlikely,Highly Unlikely,Closest place,Chicken republic,Order in a physical store and takeaway,In-stores,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,chicken and salad
2018/09/07 11:47:14 PM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Ikoyi;Lekki Phase 1,More than 10,Most likely,Highly Unlikely,Most likely,Likely,Most likely,Closest place;Cheapest place;Vast menu options;Quality;Value for your money,Domino's Pizza Saka;Debonair's Pizza;La Pizza,Order online and get delivered;Order in a physical store and dine in,Via Emails,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,An ofada rice and native rice warrior
2018/09/07 11:54:54 PM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Magodo;Ikoyi;Lekki Phase 1;Gbagada,4 - 6,Most likely,Likely,Likely,Most likely,Most likely,Quality,Domino's Pizza Saka,Order in a physical store and takeaway,Via SMS,Indifferent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Indifferent,A Jollof Warrior
2018/09/07 11:59:31 PM GMT+1,35 - 39,Female,I am original and a nonconformist ( My opinion is not influenced by the group),,0 - 1,Most likely,Highly Unlikely,Likely,Highly Unlikely,Highly Unlikely,Cheapest place;Quality,Domino's Pizza Saka,Order in a physical store and dine in,Via SMS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,Strongly Agree,Indifferent,A Pizza Connoisseur
2018/09/08 12:11:36 AM GMT+1,25 - 34,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Ikoyi,More than 10,Most likely,Highly Unlikely,Highly Unlikely,Likely,Highly Unlikely,Cheapest place,Domino's Pizza Saka,Order in a physical store and takeaway,Via SMS,Indifferent,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Indifferent,Agree,Small Chops Supremacist
2018/09/08 12:21:09 AM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Lekki Phase 1,0 - 1,Most likely,Highly Unlikely,Likely,Highly Unlikely,Likely,Quality;Value for your money,Domino's Sangotedo,Order in a physical store and dine in;Order in a physical store and takeaway,Via Emails,Indifferent,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Indifferent,Meat royalty
2018/09/08 12:30:53 AM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Ikoyi;Lekki Phase 1,More than 10,Likely,Likely,Likely,Most likely,Most likely,Closest place;Cheapest place;Vast menu options;Quality;Value for your money,Debonair's Pizza,Order online and get delivered;Order in a physical store and dine in;Order online and pick up;Order in a physical store and takeaway,Via Emails,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,Agree,Small Chops Supremacist
2018/09/08 12:54:05 AM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Lekki Phase 1,4 - 6,Most likely,Highly Unlikely,Likely,Most likely,Most likely,Closest place;Cheapest place;Quality;Value for your money,Chicken Republic,Order in a physical store and takeaway,Via Emails,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,A Jollof Warrior
2018/09/08 12:59:16 AM GMT+1,25 - 34,Female,"Shy, but I hold my own.",Ikoyi,2 - 3,Most likely,Highly Unlikely,Likely,Most likely,Likely,Closest place;Quality,Eatery,Order in a physical store and dine in,In-stores,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,A Shawarma Expert
2018/09/08 1:11:58 AM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Gbagada,7 - 10,Most likely,Highly Unlikely,Most likely,Most likely,Likely,Vast menu options;Quality,Domino's Pizza Saka;Debonair's Pizza,Order in a physical store and takeaway,Via SMS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,A Pizza Connoisseur
2018/09/08 1:56:26 AM GMT+1,18 - 24,Male,I am original and a nonconformist ( My opinion is not influenced by the group),,2 - 3,Likely,Likely,Most likely,Most likely,Likely,Closest place;Value for your money,"Nadia Bakery, opp UNIBEN maingate, Benin City, Edo State.",Order in a physical store and dine in;Order in a physical store and takeaway,In-stores,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Indifferent,A Pizza Connoisseur
2018/09/08 2:14:44 AM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Lekki Phase 1,More than 10,Most likely,Likely,Most likely,Most likely,Likely,Vast menu options;Quality;Value for your money,Domino's Pizza Saka;La Pizza,Order online and get delivered,Via Emails,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Small Chops Supremacist
2018/09/08 2:15:46 AM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Lekki Phase 1,4 - 6,Most likely,Likely,Likely,Likely,Highly Unlikely,Value for your money,Chop taste Plaza,Order in a physical store and takeaway,Via Emails,Indifferent,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,A Caterer 
2018/09/08 3:09:19 AM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Magodo,4 - 6,Most likely,Highly Unlikely,Likely,Most likely,Likely,Closest place;Quality;Value for your money,Domino's Pizza Saka,Order in a physical store and takeaway,Via Emails,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Indifferent,A Jollof Warrior
2018/09/08 3:12:06 AM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Magodo;Lekki Phase 1;Gbagada,4 - 6,Highly Unlikely,Likely,Likely,Highly Unlikely,Most likely,Quality;Value for your money,Debonair's Pizza,Order in a physical store and dine in;Order in a physical store and takeaway,An app belonging to the restaurant,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Indifferent,A Shawarma Expert
2018/09/08 3:54:14 AM GMT+1,25 - 34,Female,"Passionate, I sometimes over talk.",Gbagada,0 - 1,Most likely,Highly Unlikely,Likely,Likely,Most likely,Cheapest place,None,Order in a physical store and dine in;Order in a physical store and takeaway,Via SMS,Indifferent,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Indifferent,A Jollof Warrior
2018/09/08 4:21:09 AM GMT+1,25 - 34,Female,"Passionate, I sometimes over talk.",Magodo,4 - 6,Likely,Highly Unlikely,Most likely,Likely,Likely,Vast menu options;Quality;Value for your money,Domino's Pizza Saka,Order online and get delivered;Order in a physical store and takeaway,Via Emails,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,A Jollof Warrior
2018/09/08 4:49:21 AM GMT+1,40+,Female,"Passionate, I sometimes over talk.",Victoria Island;Gbagada,2 - 3,Likely,Highly Unlikely,Likely,Most likely,Highly Unlikely,Closest place;Vast menu options;Quality;Value for your money,Domino's Pizza Saka,Order in a physical store and takeaway,In-stores,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Small Chops Supremacist
2018/09/08 5:10:57 AM GMT+1,35 - 39,Female,"Shy, but I hold my own.",Victoria Island;Ikoyi;Lekki Phase 1,More than 10,Likely,Most likely,Likely,Highly Unlikely,Likely,Closest place;Vast menu options;Quality,Domino's Pizza Saka,Order online and get delivered,Via Emails,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,A Burger Elitist
2018/09/08 5:12:30 AM GMT+1,18 - 24,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Ikoyi;Lekki Phase 1;Gbagada,More than 10,Most likely,Likely,Likely,Likely,Likely,Cheapest place;Quality;Value for your money,Domino's Ajah,Order online and get delivered,Via SMS,Indifferent,Agree,Agree,Strongly Agree,Agree,Agree,Indifferent,A Jollof Warrior
2018/09/08 5:20:15 AM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),,More than 10,Most likely,Most likely,Likely,Most likely,Most likely,Vast menu options;Quality;Value for your money,"Roots @ umuahia, crunchies @Abuja, Hoffers @ umuahia, Mr biggs @ Port-harcourt ",Order online and get delivered;Order in a physical store and dine in,Via Emails,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Small Chops Supremacist
2018/09/08 5:53:30 AM GMT+1,40+,Male,I am original and a nonconformist ( My opinion is not influenced by the group),,4 - 6,Likely,Most likely,Highly Unlikely,Most likely,Highly Unlikely,Vast menu options;Quality;Value for your money,Captain Cook,Order in a physical store and dine in;Order in a physical store and takeaway,Via Emails,Indifferent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Small Chops Supremacist
2018/09/08 6:34:24 AM GMT+1,25 - 34,Female,"Shy, but I hold my own.",Gbagada,7 - 10,Likely,Highly Unlikely,Likely,Likely,Highly Unlikely,Cheapest place;Quality;Value for your money,"Domino's Pizza Saka;Sweet Sensations, Ibile, Chicken Republic, Calabar Kitchen etc",Order online and get delivered;Order in a physical store and dine in;Order in a physical store and takeaway,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Pizza Connoisseur
2018/09/08 6:39:34 AM GMT+1,25 - 34,Female,"Passionate, I sometimes over talk.",Ikoyi,More than 10,Most likely,Highly Unlikely,Most likely,Likely,Likely,Value for your money,Domino's Pizza Saka,Order online and get delivered,Via SMS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,A Shawarma Expert
2018/09/08 7:12:47 AM GMT+1,18 - 24,Female,"Shy, but I hold my own.",Ikoyi,4 - 6,Most likely,Highly Unlikely,Highly Unlikely,Likely,Likely,Closest place;Quality,Domino's Pizza Saka;Mr biggs,Order in a physical store and takeaway,An app belonging to the restaurant,Indifferent,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,A Jollof Warrior
2018/09/08 7:13:21 AM GMT+1,18 - 24,Female,"Shy, but I hold my own.",,7 - 10,Likely,Highly Unlikely,Likely,Most likely,Most likely,Closest place;Cheapest place;Vast menu options;Quality;Value for your money,Domino's Pizza Saka,Order online and get delivered;Order in a physical store and dine in;Order online and pick up;Order in a physical store and takeaway,In-stores,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,A Shawarma Expert
2018/09/08 7:26:41 AM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Ikoyi;Lekki Phase 1,More than 10,Most likely,Highly Unlikely,Highly Unlikely,Likely,Most likely,Vast menu options;Quality;Value for your money,The Place Restaurant ,Order online and get delivered;Order in a physical store and takeaway,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,A Shawarma Expert
2018/09/08 7:27:41 AM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Gbagada,2 - 3,Likely,Likely,Most likely,Highly Unlikely,Most likely,Vast menu options,Domino's Pizza Saka,Order in a physical store and dine in,Via SMS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,A Jollof Warrior
2018/09/08 7:53:04 AM GMT+1,25 - 34,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Gbagada,2 - 3,Likely,Most likely,Most likely,Most likely,Highly Unlikely,Value for your money,Debonair's Pizza,Order in a physical store and takeaway,Via SMS,Indifferent,Indifferent,Strongly Agree,Indifferent,Strongly Agree,Indifferent,Indifferent,A Shawarma Expert
2018/09/08 7:59:37 AM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island,2 - 3,Highly Unlikely,Most likely,Likely,Likely,Most likely,Vast menu options;Quality;Value for your money,Domino's Pizza Saka;Debonair's Pizza,Order online and get delivered,Via Emails,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Indifferent,A Burger Elitist
2018/09/08 8:04:19 AM GMT+1,18 - 24,Female,"Shy, but I hold my own.",Gbagada,4 - 6,Highly Unlikely,Highly Unlikely,Highly Unlikely,Likely,Highly Unlikely,Value for your money,Domino's Pizza Saka,Order online and get delivered,Via SMS,Agree,Stongly Disagrre,Stongly Disagrre,Stongly Disagrre,Indifferent,Stongly Disagrre,Stongly Disagrre,A Pizza Connoisseur
2018/09/08 8:20:39 AM GMT+1,25 - 34,Female,"Shy, but I hold my own.",Gbagada,0 - 1,Likely,Likely,Most likely,Most likely,Most likely,Quality,Domino's Pizza Saka,Order in a physical store and takeaway,Via Emails,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Shawarma Expert
2018/09/08 8:22:26 AM GMT+1,18 - 24,Male,"Passionate, I sometimes over talk.",Victoria Island;Lekki Phase 1,0 - 1,Likely,Likely,Likely,Likely,Most likely,Cheapest place;Value for your money,"Cold stone, Simply delicious, ",Order in a physical store and takeaway,Via SMS,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Indifferent,A Shawarma Expert
2018/09/08 8:25:07 AM GMT+1,18 - 24,Female,"Shy, but I hold my own.",Gbagada,More than 10,Most likely,Highly Unlikely,Likely,Most likely,Highly Unlikely,Closest place;Value for your money,Domino's Pizza Saka,Order in a physical store and dine in,An app belonging to the restaurant,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Jollof Warrior
2018/09/08 8:32:46 AM GMT+1,18 - 24,Female,"Passionate, I sometimes over talk.",Magodo,7 - 10,Most likely,Most likely,Most likely,Highly Unlikely,Highly Unlikely,Value for your money,Tastee fried chicken,Order online and get delivered,Via Emails,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,A Jollof Warrior
2018/09/08 8:32:48 AM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Magodo;Gbagada,4 - 6,Most likely,Most likely,Highly Unlikely,Likely,Most likely,Closest place;Vast menu options;Quality,Domino's Pizza Saka,Order online and get delivered;Order in a physical store and takeaway,Via Emails,Indifferent,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Shawarma Expert
2018/09/08 8:32:50 AM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Lekki Phase 1,7 - 10,Most likely,Likely,Likely,Most likely,Most likely,Closest place;Cheapest place;Vast menu options;Quality;Value for your money,Domino's but not at saka,Order in a physical store and dine in;Order in a physical store and takeaway,Via Emails,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Small chops supremacist, jollof warrior and shawarma expert 😆"
2018/09/08 8:32:57 AM GMT+1,18 - 24,Female,"Passionate, I sometimes over talk.",Victoria Island;Ikoyi,4 - 6,Most likely,Highly Unlikely,Most likely,Highly Unlikely,Most likely,Closest place;Vast menu options;Quality,Domino pizza  falomo ,Order in a physical store and takeaway,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,A Pizza Connoisseur
2018/09/08 8:33:52 AM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Magodo,4 - 6,Most likely,Likely,Likely,Highly Unlikely,Likely,Value for your money,Domino's Pizza Saka,Order in a physical store and takeaway,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Shawarma Expert
2018/09/08 8:38:06 AM GMT+1,18 - 24,Female,"Shy, but I hold my own.",,2 - 3,Most likely,Highly Unlikely,Highly Unlikely,Most likely,Likely,Closest place;Quality;Value for your money,"Domino's Pizza Saka;Crunches, ",Order in a physical store and takeaway,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Jollof Warrior
2018/09/08 8:42:07 AM GMT+1,25 - 34,Female,"Passionate, I sometimes over talk.",Gbagada,2 - 3,Most likely,Highly Unlikely,Likely,Most likely,Highly Unlikely,Closest place,"Tastee,The place",Order in a physical store and takeaway,Via Emails,Indifferent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,A Jollof Warrior
2018/09/08 8:58:11 AM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Ikoyi;Lekki Phase 1,More than 10,Likely,Most likely,Highly Unlikely,Highly Unlikely,Likely,Vast menu options;Quality;Value for your money,Domino's Pizza Saka;Chicken Republic ,Order online and get delivered;Order online and pick up;Order in a physical store and takeaway,Via Emails,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Small Chops Supremacist
2018/09/08 9:03:49 AM GMT+1,35 - 39,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Ikoyi,0 - 1,Most likely,Likely,Likely,Most likely,Most likely,Closest place;Vast menu options;Quality,Domino's Pizza Saka;Taster fried chicken,Order online and get delivered;Order in a physical store and takeaway,Via SMS,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,A Shawarma Expert
2018/09/08 9:10:12 AM GMT+1,18 - 24,Female,"Shy, but I hold my own.",Victoria Island;Ikoyi;Lekki Phase 1,2 - 3,Most likely,Likely,Most likely,Likely,Most likely,Quality,Domino's Pizza Saka,Order online and get delivered,Via SMS,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Indifferent,A Pizza Connoisseur
2018/09/08 9:15:06 AM GMT+1,21,Female,"Passionate, I sometimes over talk.",Lekki Phase 1,7 - 10,Likely,Highly Unlikely,Most likely,Likely,Likely,Quality,Domino's Pizza Saka,Order in a physical store and dine in,In-stores,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,A Pizza Connoisseur
2018/09/08 9:15:43 AM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island,4 - 6,Most likely,Highly Unlikely,Likely,Likely,Likely,Vast menu options;Quality;Value for your money,Domino's Pizza Saka,Order online and get delivered;Order in a physical store and takeaway,Via Emails,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,A Pizza Connoisseur
2018/09/08 9:16:41 AM GMT+1,18 - 24,Female,"Shy, but I hold my own.",Gbagada,More than 10,Highly Unlikely,Likely,Likely,Highly Unlikely,Highly Unlikely,Value for your money,Domino's Pizza Saka,Order in a physical store and takeaway,Via SMS,Indifferent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Jollof Warrior
2018/09/08 9:23:23 AM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Gbagada,4 - 6,Most likely,Highly Unlikely,Likely,Likely,Highly Unlikely,Cheapest place;Vast menu options;Quality;Value for your money,Domino's Pizza Saka,Order in a physical store and dine in;Order in a physical store and takeaway,Via Emails,Agree,Strongly Agree,Strongly Agree,Agree,Indifferent,Strongly Agree,Agree,A Jollof Warrior
2018/09/08 9:26:57 AM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Gbagada,0 - 1,Highly Unlikely,Highly Unlikely,Likely,Likely,Likely,Closest place;Cheapest place;Quality;Value for your money,Domino's Pizza Saka;Coldstone ,Order in a physical store and dine in;Order in a physical store and takeaway,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,A Jollof Warrior
2018/09/08 9:28:10 AM GMT+1,25 - 34,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Lekki Phase 1,More than 10,Likely,Likely,Most likely,Most likely,Most likely,Vast menu options,Domino's Pizza Saka;Pink berry,Order in a physical store and takeaway,In-stores,Indifferent,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Indifferent,A Shawarma Expert
2018/09/08 9:31:45 AM GMT+1,18 - 24,Female,"Shy, but I hold my own.",Victoria Island,2 - 3,Most likely,Likely,Likely,Most likely,Likely,Quality,Beach town,Order in a physical store and takeaway,Via Emails,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,A Jollof Warrior
2018/09/08 9:44:29 AM GMT+1,25 - 34,Male,I am original and a nonconformist ( My opinion is not influenced by the group),,4 - 6,Most likely,Highly Unlikely,Likely,Likely,Likely,Value for your money,Bean and bread joint,Order in a physical store and takeaway,Via Emails,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Indifferent,Beans
2018/09/08 9:45:26 AM GMT+1,25 - 34,Male,"Shy, but I hold my own.",Victoria Island;Ikoyi;Lekki Phase 1,2 - 3,Likely,Likely,Likely,Most likely,Likely,Closest place;Cheapest place;Quality;Value for your money,Domino's Pizza,Order online and get delivered;Order in a physical store and dine in;Order online and pick up;Order in a physical store and takeaway,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Indifferent,Small Chops Supremacist
2018/09/08 9:45:44 AM GMT+1,25 - 34,Female,"Passionate, I sometimes over talk.",Victoria Island,4 - 6,Highly Unlikely,Likely,Most likely,Most likely,Most likely,Value for your money,Domino's Pizza,Order in a physical store and takeaway,Via Emails,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,A Shawarma Expert
2018/09/08 9:51:28 AM GMT+1,25 - 34,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Ikoyi,More than 10,Highly Unlikely,Most likely,Likely,Likely,Highly Unlikely,Closest place;Quality;Value for your money,Domino's Pizza,Order in a physical store and takeaway,In-stores,Indifferent,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Indifferent,A Burger Elitist
2018/09/08 10:01:26 AM GMT+1,18 - 24,Female,"Passionate, I sometimes over talk.",,More than 10,Most likely,Highly Unlikely,Most likely,Most likely,Likely,Value for your money,Domino's Pizza,Order online and get delivered;Order in a physical store and takeaway,Via SMS,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,A Pizza Connoisseur
2018/09/08 10:02:22 AM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Gbagada,2 - 3,Likely,Likely,Likely,Likely,Likely,Value for your money,Domino's Pizza,Order in a physical store and dine in,Via Emails,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,A Pizza Connoisseur
2018/09/08 10:24:43 AM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Magodo;Gbagada,More than 10,Most likely,Highly Unlikely,Likely,Likely,Most likely,Vast menu options;Value for your money,Domino's Pizza,Order in a physical store and takeaway,Via SMS,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Indifferent,Small Chops Supremacist
2018/09/08 10:25:21 AM GMT+1,25 - 34,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Ikoyi;Lekki Phase 1,7 - 10,Likely,Likely,Highly Unlikely,Most likely,Likely,Vast menu options;Quality;Value for your money,Domino's Pizza,Order online and get delivered,Via Emails,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Small Chops Supremacist
2018/09/08 10:35:16 AM GMT+1,18 - 24,Female,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island,4 - 6,Most likely,Likely,Likely,Likely,Highly Unlikely,Closest place,Domino's Pizza,Order online and get delivered,Via SMS,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,A Jollof Warrior
2018/09/08 10:41:26 AM GMT+1,25 - 34,Female,"Passionate, I sometimes over talk.",Gbagada,4 - 6,Likely,Highly Unlikely,Likely,Likely,Likely,Vast menu options;Quality;Value for your money,"Domino's Pizza;Cold Stone Creamery, Hubmart food court",Order in a physical store and dine in;Order in a physical store and takeaway,Via Emails,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Indifferent,A Shawarma Expert
2018/09/08 10:41:37 AM GMT+1,25 - 34,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Magodo,2 - 3,Likely,Likely,Most likely,Highly Unlikely,Most likely,Closest place;Quality;Value for your money,Domino's Pizza,Order in a physical store and dine in,Via SMS,Indifferent,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Indifferent,A Pizza Connoisseur
2018/09/08 10:45:32 AM GMT+1,25 - 34,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Victoria Island;Ikoyi;Gbagada,4 - 6,Most likely,Highly Unlikely,Likely,Highly Unlikely,Most likely,Vast menu options;Quality;Value for your money,Domino's Pizza,Order online and get delivered,Via Emails,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Indifferent,A Jollof Warrior
2018/09/08 10:55:32 AM GMT+1,25 - 34,Male,I am original and a nonconformist ( My opinion is not influenced by the group),Magodo;Gbagada,4 - 6,Most likely,Likely,Likely,Most likely,Most likely,Closest place;Vast menu options;Value for your money,Domino's Pizza;Debonair's Pizza,Order online and get delivered;Order online and pick up,Via SMS,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Small Chops Supremacist
